"RUN_NUM","COMP_CD","POL_NUM","AGT_CD","AGT_RANK_CD","BNS_RATE","BNS_BASE","BNS_AMT","WRTN_AGT","RPT_LVL","PREV_YTD_BNS","CURR_YTD_BNS","PARM1_VAL","PARM2_VAL","PARM3_VAL","PARM4_VAL","PARM5_VAL","TRANS_AC_IND","BNS_MTH","GOR_GEN_LVL"
"202004","GABFYC","4258365032","G00083","BD","100","57000","57000","G00112","2","","","100","57000","","","","","202004",""
"202004","GAGFYC","4258365032","G00055","BD","25","57000","14250","G00083","3","","","25","57000","15","0","","","202004","1"
"202004","GAGFYC","4258365032","G00054","BD","20","57000","11400","G00055","4","","","20","57000","10","0","","","202004","2"
"202004","GABFYC","4258365040","G00083","BD","100","1800000","1800000","G00081","2","","","100","1800000","","","","","202004",""
"202004","GAGFYC","4258365040","G00055","BD","25","1800000","450000","G00083","3","","","25","1800000","15","0","","","202004","1"
"202004","GAGFYC","4258365040","G00054","BD","20","1800000","360000","G00055","4","","","20","1800000","10","0","","","202004","2"
"202004","GABFYC","4258370131","G00103","BD","100","826710","826710","G00103","1","","","100","826710","","","","","202004",""
"202004","GAGFYC","4258370131","G00054","BD","25","826710","206677.5","G00103","2","","","25","826710","15","0","","","202004","1"
"202004","GABFYC","4258370172","G00103","BD","100","2177340","2177340","G00103","1","","","100","2177340","","","","","202004",""
"202004","GAGFYC","4258370172","G00054","BD","25","2177340","544335","G00103","2","","","25","2177340","15","0","","","202004","1"
"202004","GABFYC","4258370180","G00103","BD","100","281050","281050","G00103","1","","","100","281050","","","","","202004",""
"202004","GAGFYC","4258370180","G00054","BD","25","281050","70262.5","G00103","2","","","25","281050","15","0","","","202004","1"
"202004","GABFYC","4258370198","G00103","BD","100","1476420","1476420","G00103","1","","","100","1476420","","","","","202004",""
"202004","GAGFYC","4258370198","G00054","BD","25","1476420","369105","G00103","2","","","25","1476420","15","0","","","202004","1"
"202004","GABFYC","4258370206","G00103","BD","100","951400","951400","G00103","1","","","100","951400","","","","","202004",""
"202004","GAGFYC","4258370206","G00054","BD","25","951400","237850","G00103","2","","","25","951400","15","0","","","202004","1"
"202004","GABFYC","4258382268","G00094","BSM","50","600975","300487.5","G00100","2","","","50","600975","","","","","202004",""
"202004","GABFYC","4258382268","G00054","BD","50","600975","300487.5","G00100","3","","","50","600975","","","","","202004",""
"202004","GABFYC","4258466541","G00134","BSM","50","4000000","2000000","G00134","1","","","50","4000000","","","","","202004",""
"202004","GABFYC","4258466541","G00077","BD","50","4000000","2000000","G00134","2","","","50","4000000","","","","","202004",""
"202004","GABFYC","4258536236","G00084","BSM","50","899190","449595","G00347","2","","","50","899190","","","","","202004",""
"202004","GABFYC","4258536236","G00083","BD","50","899190","449595","G00347","3","","","50","899190","","","","","202004",""
"202004","GAGFYC","4258536236","G00055","BD","25","899190","224797.5","G00083","4","","","25","899190","15","0","","","202004","1"
"202004","GABFYC","4267344838","G00054","BD","100","267700","267700","G00054","1","","","100","267700","","","","","202004",""
"202004","GABFYC","4267344853","G00054","BD","100","5621060","5621060","G00054","1","","","100","5621060","","","","","202004",""
"202004","GABFYC","4267344861","G00054","BD","100","1582700","1582700","G00054","1","","","100","1582700","","","","","202004",""
"202004","GABFYC","4267344879","G00054","BD","100","1539220","1539220","G00054","1","","","100","1539220","","","","","202004",""
"202004","GABFYC","4267344887","G00054","BD","100","2016980","2016980","G00054","1","","","100","2016980","","","","","202004",""
"202004","GABFYC","4267344895","G00054","BD","100","1411640","1411640","G00054","1","","","100","1411640","","","","","202004",""
"202004","GABFYC","4267344903","G00054","BD","75","412080","309060","G00343","2","","","75","412080","","","","","202004",""
"202004","GABFYC","4267344911","G00054","BD","75","279540","209655","G00343","2","","","75","279540","","","","","202004",""
"202004","GABFYC","4267344929","G00054","BD","100","1245140","1245140","G00553","2","","","100","1245140","","","","","202004",""
"202004","GABFYC","4267344937","G00054","BD","100","264880","264880","G00565","2","","","100","264880","","","","","202004",""
"202004","GABFYC","4267239020","G00051","BD","100","228540","228540","G00022","2","","","100","228540","","","","","202004",""
"202004","GAGFYC","4267239020","G00002","BD","25","228540","57135","G00051","3","","","25","228540","15","0","","","202004","1"
"202004","GABFYC","4267271973","G00016","BSM","50","11176000","5588000","G00035","2","","","50","11176000","","","","","202004",""
"202004","GABFYC","4267271973","G00052","BD","50","11176000","5588000","G00035","3","","","50","11176000","","","","","202004",""
"202004","GAGFYC","4267271973","G00002","BD","25","11176000","2794000","G00052","4","","","25","11176000","15","0","","","202004","1"
"202004","GABFYC","4267344739","G00054","BD","100","2097480","2097480","G00299","2","","","100","2097480","","","","","202004",""
"202004","GABFYC","4267344960","G00054","BD","100","4122240","4122240","G00299","2","","","100","4122240","","","","","202004",""
"202004","GABFYC","4258382193","G00095","BSM","50","150000","75000","G00158","2","","","50","150000","","","","","202004",""
"202004","GABFYC","4258382193","G00054","BD","50","150000","75000","G00158","3","","","50","150000","","","","","202004",""
"202004","GABFYC","4259897116","G00604","BSM","50","2000000","800000","G00604","1","","","50","2000000","","","","","202004",""
"202004","GABFYC","4259897116","G00133","BD","50","2000000","1000000","G00604","2","","","50","2000000","","","","","202004",""
"202004","GAGFYC","4259897116","G00132","BD","25","2000000","500000","G00133","3","","","25","2000000","15","0","","","202004","1"
"202004","GAGFYC","4259897116","G00077","BD","20","2000000","400000","G00132","4","","","20","2000000","10","0","","","202004","2"
"202004","GABFYC","4267591776","G00095","BSM","50","120784000","60392000","G00095","1","","","50","120784000","","","","","202004",""
"202004","GABFYC","4267591776","G00054","BD","50","120784000","60392000","G00095","2","","","50","120784000","","","","","202004",""
"202004","GABFYC","4267591784","G00095","BSM","50","61468000","30734000","G00095","1","","","50","61468000","","","","","202004",""
"202004","GABFYC","4267591784","G00054","BD","50","61468000","30734000","G00095","2","","","50","61468000","","","","","202004",""
"202004","GABFYC","4268053719","G00240","BSM","50","785385","392692.5","G00240","1","","","50","785385","","","","","202004",""
"202004","GABFYC","4268053719","G00229","BD","50","785385","392692.5","G00240","2","","","50","785385","","","","","202004",""
